x,y,yaw,vx,vy,avz,lvx,lvy,time
-109.72,8.52,-1.5708,0.0,0.011,-0.00061,-0.0143,-0.0,0.0
-109.72,8.52,-1.5708,0.0,0.011,-0.00061,-0.0143,-0.0,0.01666259765625
-109.69,8.35,-1.57003,3.381,-20.661,-0.00111,20.6575,3.381,0.02500152587890625
-109.63,8.01,-1.5683,6.931,-41.041,-0.00131,41.0425,6.8995,0.03333282470703125
-109.54,7.5,-1.566,10.571,-61.191,-0.00141,61.2127,10.4184,0.04166412353515625
-109.42,6.82,-1.56255,14.321,-81.111,-0.00141,81.2211,13.6518,0.04999542236328125
-109.27,5.98,-1.55862,18.171,-100.821,-0.00131,100.9615,17.3392,0.0583343505859375
-109.09,4.98,-1.55363,22.121,-120.341,-0.00121,120.5947,20.6542,0.0666656494140625
-108.87,3.82,-1.54779,26.191,-139.671,-0.00111,140.0924,23.7904,0.0749969482421875
-108.62,2.5,-1.54127,30.391,-158.821,-0.00101,159.6406,25.6887,0.0833282470703125
-108.33,1.02,-1.53388,34.741,-177.791,-0.00091,178.7299,29.4768,0.09166717529296875
-108.0,-0.62,-1.52574,39.271,-196.571,-0.00081,197.8762,31.9904,0.09999847412109375
-107.63,-2.41,-1.51682,44.011,-215.171,-0.00071,216.9241,34.2743,0.10832977294921875
-107.22,-4.36,-1.50714,48.971,-233.581,-0.00061,236.2116,34.0125,0.116668701171875
-106.77,-6.46,-1.49688,54.191,-251.791,-0.00051,254.7159,38.0635,0.125
-106.27,-8.71,-1.48585,59.691,-269.791,-0.00041,273.4492,39.6041,0.133331298828125
-105.72,-11.11,-1.47425,65.491,-287.571,-0.00031,292.0763,40.8573,0.14166259765625
-105.12,-13.65,-1.46208,71.631,-305.121,-0.00031,311.0769,38.101,0.15000152587890625
-104.47,-16.34,-1.44932,78.121,-322.431,-0.00021,328.9881,42.6744,0.15833282470703125
-103.76,-19.17,-1.436,84.991,-339.491,-0.00021,347.2714,43.228,0.16666412353515625
-102.99,-22.14,-1.42219,92.261,-356.281,-0.00021,365.4305,43.5439,0.17499542236328125
-102.16,-25.25,-1.40791,99.951,-372.791,-0.00011,384.047,38.1731,0.1833343505859375
-101.26,-28.49,-1.39305,108.071,-389.011,-0.00011,401.3683,43.5552,0.1916656494140625
-100.29,-31.86,-1.3779,116.641,-404.921,-0.00011,419.1451,43.2077,0.1999969482421875
