loc,rot,vel,ang_vel,loc_vel,time
"[2048.0, -2560.0, 17.01]","[-0.00959, 2.35619, 0.0]","[0.0, 0.0, 0.211]","[-0.00041, -0.00021, 0.0]","[-0.002, 0.0, 0.211]",0.0
"[2047.9099, -2559.95, 17.01]","[-0.00959, 2.35696, 0.0]","[-11.161, 6.371, 0.211]","[-0.00071, 0.00071, 0.09451]","[12.397, 3.3775, 0.3299]",0.008333206176757812
"[2047.72, -2559.8398, 17.01]","[-0.00959, 2.3585, 0.0]","[-22.211, 12.781, 0.211]","[-0.00091, 0.00131, 0.18601]","[24.745, 6.649, 0.4483]",0.016666889190673828
"[2047.4399, -2559.6799, 17.01]","[-0.00959, 2.3608, 0.0]","[-33.151, 19.201, 0.211]","[-0.00101, 0.00161, 0.27461]","[37.0373, 9.7789, 0.5661]",0.02500009536743164
"[2047.0699, -2559.47, 17.01]","[-0.00959, 2.36377, 0.0]","[-44.001, 25.601, 0.211]","[-0.00101, 0.00171, 0.36101]","[49.2711, 12.7841, 0.6834]",0.03333330154418945
"[2046.61, -2559.2, 17.01]","[-0.00959, 2.36751, 0.0]","[-54.761, 31.971, 0.211]","[-0.00091, 0.00171, 0.44481]","[61.5023, 15.4201, 0.8007]",0.04166698455810547
"[2046.0599, -2558.8799, 17.01]","[-0.00959, 2.37192, -0.0001]","[-65.451, 38.301, 0.211]","[-0.00081, 0.00171, 0.52591]","[73.5708, 18.3668, 0.9164]",0.05000019073486328
"[2045.4299, -2558.51, 17.01]","[-0.00959, 2.3769, -0.0001]","[-76.071, 44.571, 0.211]","[-0.00071, 0.00161, 0.60441]","[85.6405, 20.93, 1.0301]",0.058333396911621094
"[2044.71, -2558.0898, 17.01]","[-0.00959, 2.38266, -0.0001]","[-86.641, 50.771, 0.211]","[-0.00061, 0.00141, 0.68041]","[97.6628, 23.3466, 1.1451]",0.0666666030883789
"[2043.8999, -2557.6199, 17.01]","[-0.00949, 2.38889, -0.0001]","[-97.171, 56.871, 0.211]","[-0.00051, 0.00121, 0.75391]","[109.7905, 24.9209, 1.2507]",0.07500028610229492
"[2043.0, -2557.0999, 17.01]","[-0.00949, 2.39579, -0.0001]","[-107.661, 62.861, 0.211]","[-0.00041, 0.00101, 0.82491]","[121.5408, 27.7203, 1.362]",0.08333349227905273
"[2042.0199, -2556.53, 17.01]","[-0.00949, 2.40317, -0.0001]","[-118.131, 68.721, 0.211]","[-0.00031, 0.00081, 0.89351]","[133.3958, 29.6807, 1.4743]",0.09166669845581055
"[2040.95, -2555.9099, 17.01]","[-0.00949, 2.41123, -0.0001]","[-128.581, 74.441, 0.211]","[-0.00021, 0.00071, 0.95961]","[145.1891, 31.4991, 1.5861]",0.09999990463256836
"[2039.7899, -2555.24, 17.01]","[-0.00949, 2.41976, -0.0001]","[-139.031, 79.991, 0.211]","[-0.00011, 0.00061, 1.02341]","[157.202, 31.8257, 1.7001]",0.10833358764648438
"[2038.5399, -2554.53, 17.01]","[-0.00949, 2.42877, -0.0001]","[-149.481, 85.361, 0.211]","[-0.00011, 0.00051, 1.08491]","[168.5935, 34.7, 1.8079]",0.11666679382324219
"[2037.21, -2553.78, 17.01]","[-0.00949, 2.43836, -0.0001]","[-159.941, 90.541, 0.211]","[0.0, 0.00041, 1.14421]","[180.1996, 36.1009, 1.918]",0.125
"[2035.7899, -2552.98, 17.01]","[-0.00949, 2.44833, -0.0001]","[-170.421, 95.501, 0.211]","[0.0, 0.00031, 1.20131]","[191.7381, 37.3656, 2.0274]",0.1333332061767578
"[2034.2799, -2552.1399, 17.01]","[-0.00949, 2.45868, -0.0001]","[-180.921, 100.241, 0.211]","[0.0, 0.00011, 1.25631]","[203.5938, 36.4099, 2.14]",0.14166688919067383
"[2032.6799, -2551.27, 17.01]","[-0.00949, 2.46971, -0.0001]","[-191.431, 104.751, 0.211]","[0.0, 0.0, 1.30951]","[214.5924, 39.5437, 2.2441]",0.15000009536743164
"[2031.0, -2550.3599, 17.01]","[-0.00949, 2.48102, -0.0001]","[-201.971, 109.011, 0.211]","[0.0, 0.0, 1.36061]","[225.9157, 40.4018, 2.3515]",0.15833330154418945
"[2029.23, -2549.4199, 17.01]","[-0.00949, 2.49272, -0.0001]","[-212.541, 113.001, 0.211]","[0.0, 0.0, 1.40981]","[237.1524, 41.1781, 2.4581]",0.16666698455810547
"[2027.37, -2548.45, 17.01]","[-0.00949, 2.50499, -0.0001]","[-223.141, 116.711, 0.211]","[0.0, 0.0, 1.45711]","[248.7998, 38.8004, 2.5688]",0.17500019073486328
"[2025.4199, -2547.45, 17.01]","[-0.00949, 2.51745, -0.0001]","[-233.771, 120.131, 0.211]","[0.0, 0.0, 1.50251]","[259.3802, 42.3695, 2.6689]",0.1833333969116211
"[2023.38, -2546.4199, 17.01]","[-0.00949, 2.5304, -0.0001]","[-244.441, 123.251, 0.211]","[0.00011, 0.0, 1.54611]","[270.3693, 42.8371, 2.7732]",0.1916666030883789
"[2021.25, -2545.3699, 17.01]","[-0.00949, 2.54363, -0.0001]","[-255.141, 126.061, 0.211]","[0.00021, 0.0, 1.58801]","[281.276, 43.1729, 2.8767]",0.20000028610229492
"[2019.0299, -2544.3, 17.01]","[-0.00949, 2.55715, -0.0001]","[-265.871, 128.551, 0.211]","[0.00021, 0.0, 1.62821]","[292.6524, 39.4776, 2.985]",0.20833349227905273
"[2016.72, -2543.21, 17.01]","[-0.00949, 2.57095, -0.0001]","[-276.631, 130.711, 0.211]","[0.00021, 0.0, 1.66671]","[302.8177, 43.6128, 3.0811]",0.21666669845581055
"[2014.33, -2542.1099, 17.01]","[-0.00949, 2.58524, -0.0001]","[-287.411, 132.531, 0.211]","[0.00021, 0.0, 1.70361]","[313.4455, 43.7194, 3.182]",0.22499990463256836
"[2011.84, -2540.99, 17.01]","[-0.00949, 2.59962, -0.0001]","[-298.211, 134.011, 0.211]","[0.00031, 0.0, 1.73891]","[323.9903, 43.6839, 3.2821]",0.23333358764648438
"[2009.26, -2539.8599, 17.01]","[-0.00949, 2.61448, -0.0001]","[-309.031, 135.131, 0.211]","[0.00031, 0.0, 1.77271]","[335.0433, 38.667, 3.3875]",0.2416667938232422
