x,y,speed,time,angle
-248.9,-3822.1799,2299.3183,0.008333206,1.18999
-241.89,-3804.3499,2298.7388,0.016666412,1.1942
-234.95,-3786.5,2298.2334,0.024999619,1.20005
-228.09,-3768.6199,2297.771,0.033333302,1.20724
-221.32,-3750.71,2297.2691,0.041666508,1.21578
-214.64,-3732.77,2296.7209,0.049999714,1.22527
-208.07,-3714.7998,2296.0778,0.058333397,1.23553
-201.63,-3696.79,2294.9753,0.066666603,1.24655
-195.32,-3678.74,2294.429,0.074999809,1.25815
-189.16,-3660.6399,2293.3979,0.083333015,1.27033
-183.16,-3642.5,2292.2086,0.091666698,1.28298
-177.34,-3624.3098,2290.0047,0.099999905,1.29612
-171.7,-3606.0798,2289.3701,0.108333111,1.30954
-166.25,-3587.7998,2287.7274,0.116666317,1.32325
-161.01,-3569.47,2285.9384,0.125,1.33725
-155.98,-3551.0999,2282.669,0.133333206,1.35163
-151.17,-3532.6899,2281.9477,0.141666412,1.36611
-146.59,-3514.24,2279.7647,0.149999619,1.38077
-142.25,-3495.75,2277.4657,0.158333302,1.39573
-138.15,-3477.22,2273.3467,0.166666508,1.41069
-134.3,-3458.6599,2272.5545,0.174999714,1.42593
-130.71,-3440.0698,2269.9517,0.183333397,1.44117
-127.38,-3421.45,2267.2762,0.191666603,1.45661
-124.32,-3402.8098,2262.5236,0.199999809,1.47214
-121.53,-3384.1499,2261.6752,0.208333015,1.48777
-119.01,-3365.47,2258.7742,0.216666698,1.50349
-116.77,-3346.78,2255.8016,0.224999905,1.51931
-114.81,-3328.0798,2250.5839,0.233333111,1.53523
-113.13,-3309.3799,2249.6981,0.241666317,1.55114
-111.73,-3290.6799,2246.5732,0.25,1.56715
-110.62,-3271.99,2243.4047,0.258333206,1.58326
-109.8,-3253.3098,2237.87,0.266666412,1.59937
-109.27,-3234.6399,2236.9467,0.274999619,1.61547
-109.03,-3216,2233.6791,0.283333302,1.63177
-109.08,-3197.3799,2230.3549,0.291666508,1.64797
-109.43,-3178.79,2224.6082,0.299999714,1.66427
-110.07,-3160.24,2223.669,0.308333397,1.68057
-111.01,-3141.73,2220.2947,0.316666603,1.69697
-112.24,-3123.26,2216.8854,0.324999809,1.71336
-113.76,-3104.8398,2210.989,0.333333015,1.72976
-115.58,-3086.48,2210.0353,0.341666698,1.74615
-117.69,-3068.1799,2206.5887,0.349999905,1.76264
-120.1,-3049.9399,2203.1219,0.358333111,1.77913
-122.8,-3031.77,2197.1333,0.366666317,1.79562
-125.79,-3013.6799,2196.159,0.375,1.81211
-129.07,-2995.6699,2192.6729,0.383333206,1.8287
-132.64,-2977.74,2189.1692,0.391666412,1.84519
-136.5,-2959.8999,2183.138,0.399999619,1.86177
-140.64,-2942.1599,2182.1552,0.408333302,1.87836
-145.07,-2924.52,2178.6359,0.416666508,1.89495
-149.78,-2906.98,2175.1213,0.424999714,1.91153
-154.77,-2889.55,2169.0476,0.433333397,1.92821
-160.04,-2872.23,2168.065,0.441666603,1.9448
-165.59,-2855.03,2164.5388,0.449999809,1.96148
-171.41,-2837.95,2161.0043,0.458333015,1.97816
-177.5,-2821,2154.9455,0.466666698,1.99475
-183.86,-2804.1799,2153.952,0.474999905,2.01143
-190.49,-2787.49,2150.418,0.483333111,2.02811
-197.39,-2770.9399,2146.8844,0.491666317,2.0448
-204.55,-2754.54,2140.82,0.5,2.06148
-211.97,-2738.29,2139.8191,0.508333206,2.07826
-219.65,-2722.1899,2136.2813,0.516666412,2.09484
-227.58,-2706.25,2132.7697,0.524999619,2.11162
-235.77,-2690.47,2126.704,0.533333302,2.1284
-244.2,-2674.8499,2125.7069,0.541666508,2.14508
-252.88,-2659.3999,2122.1899,0.549999714,2.16176
-261.8,-2644.1199,2118.6816,0.558333397,2.17844
-270.96,-2629.02,2112.6636,0.566666603,2.19522
-280.36,-2614.0999,2111.6558,0.574999809,2.212
-289.99,-2599.3599,2108.146,0.583333015,2.22878
-299.85,-2584.8101,2104.6319,0.591666698,2.24546
-309.93,-2570.45,2098.6446,0.599999905,2.26224
-320.24,-2556.29,2097.6341,0.608333111,2.27902
-330.77,-2542.3298,2094.1376,0.616666317,2.29579
-341.51,-2528.5698,2090.6407,0.625,2.31257
-352.46,-2515.01,2084.689,0.633333206,2.32925
-363.62,-2501.6599,2083.6755,0.641666412,2.34603
-374.98,-2488.52,2080.1916,0.649999619,2.36271
-386.54,-2475.5999,2076.7283,0.658333302,2.37959
-398.3,-2462.8899,2070.7927,0.666666508,2.39637
-410.25,-2450.3999,2069.7809,0.674999714,2.41305
-422.39,-2438.1399,2066.3364,0.683333397,2.42992
-434.71,-2426.0999,2062.8665,0.691666603,2.4467
-447.21,-2414.29,2056.9956,0.699999809,2.46338
-459.89,-2402.71,2055.9784,0.708333015,2.48026
-472.74,-2391.3699,2052.5246,0.716666698,2.49703
-485.76,-2380.26,2049.0842,0.724999905,2.51381
-498.94,-2369.3899,2043.2388,0.733333111,2.53059
-512.28,-2358.76,2042.2232,0.741666317,2.54737
-525.77,-2348.3799,2038.8076,0.75,2.56414
-539.41,-2338.24,2035.3918,0.758333206,2.58092
-553.2,-2328.3499,2029.5945,0.766666412,2.5977
-567.13,-2318.71,2028.578,0.774999619,2.61448
-581.19,-2309.3201,2025.1838,0.783333302,2.63126
-595.39,-2300.1899,2021.7931,0.791666508,2.64803
-609.71,-2291.3101,2016.0449,0.799999714,2.66481
-624.16,-2282.6899,2015.028,0.808333397,2.68159
